Date,Printer Server,Printer Name,Use Type,Total Printed Pages
10/4/2018 12:21,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:25,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:27,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:28,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:30,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:31,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:32,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:33,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 13:38,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/4/2018 13:38,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/4/2018 13:38,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/4/2018 13:51,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,5
10/4/2018 19:47,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,4
10/4/2018 21:52,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/5/2018 18:40,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,34
10/5/2018 18:40,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,18
10/5/2018 18:42,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,12
10/5/2018 18:43,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,11
10/5/2018 18:43,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,9
10/5/2018 18:44,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,15
10/5/2018 18:45,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,12
10/6/2018 21:53,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,8
10/7/2018 16:07,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 11:11,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/1/2018 13:39,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/1/2018 17:22,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/1/2018 18:33,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,1
10/2/2018 10:30,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,9
10/2/2018 13:05,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,12
10/2/2018 13:46,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,220
10/2/2018 13:59,bigenergy.dsc.umich.edu,m-aab-1248-bwmulti-1,PRINT,5
